"MTU (CET/CEST)","Area","Sequence","Day-ahead (EUR/MWh)","Energy Price (EUR/MWh)"
"07/01/2015 22:00:00 - 07/01/2015 23:00:00","BZN|SE3","Without sequence","28.72",""
"07/01/2015 23:00:00 - 08/01/2015 00:00:00","BZN|SE3","Without sequence","27.47",""
"08/01/2015 00:00:00 - 08/01/2015 01:00:00","BZN|SE3","Without sequence","26.51",""
"08/01/2015 01:00:00 - 08/01/2015 02:00:00","BZN|SE3","Without sequence","25.07",""
"08/01/2015 02:00:00 - 08/01/2015 03:00:00","BZN|SE3","Without sequence","24.57",""
"08/01/2015 03:00:00 - 08/01/2015 04:00:00","BZN|SE3","Without sequence","24.44",""
"08/01/2015 04:00:00 - 08/01/2015 05:00:00","BZN|SE3","Without sequence","24.54",""
"08/01/2015 05:00:00 - 08/01/2015 06:00:00","BZN|SE3","Without sequence","26.04",""
"08/01/2015 06:00:00 - 08/01/2015 07:00:00","BZN|SE3","Without sequence","28.19",""
"08/01/2015 07:00:00 - 08/01/2015 08:00:00","BZN|SE3","Without sequence","29.41",""
"08/01/2015 08:00:00 - 08/01/2015 09:00:00","BZN|SE3","Without sequence","29.66",""
"08/01/2015 09:00:00 - 08/01/2015 10:00:00","BZN|SE3","Without sequence","29.52",""
"08/01/2015 10:00:00 - 08/01/2015 11:00:00","BZN|SE3","Without sequence","29.57",""
"08/01/2015 11:00:00 - 08/01/2015 12:00:00","BZN|SE3","Without sequence","29.72",""
"08/01/2015 12:00:00 - 08/01/2015 13:00:00","BZN|SE3","Without sequence","29.72",""
"08/01/2015 13:00:00 - 08/01/2015 14:00:00","BZN|SE3","Without sequence","29.85",""
"08/01/2015 14:00:00 - 08/01/2015 15:00:00","BZN|SE3","Without sequence","30.22",""
"08/01/2015 15:00:00 - 08/01/2015 16:00:00","BZN|SE3","Without sequence","30.83",""
"08/01/2015 16:00:00 - 08/01/2015 17:00:00","BZN|SE3","Without sequence","31.69",""
"08/01/2015 17:00:00 - 08/01/2015 18:00:00","BZN|SE3","Without sequence","32.03",""
"08/01/2015 18:00:00 - 08/01/2015 19:00:00","BZN|SE3","Without sequence","31.05",""
"08/01/2015 19:00:00 - 08/01/2015 20:00:00","BZN|SE3","Without sequence","30.37",""
"08/01/2015 20:00:00 - 08/01/2015 21:00:00","BZN|SE3","Without sequence","29.44",""
"08/01/2015 21:00:00 - 08/01/2015 22:00:00","BZN|SE3","Without sequence","28.62",""
"08/01/2015 22:00:00 - 08/01/2015 23:00:00","BZN|SE3","Without sequence","27.4",""
"08/01/2015 23:00:00 - 09/01/2015 00:00:00","BZN|SE3","Without sequence","25.91",""
"09/01/2015 00:00:00 - 09/01/2015 01:00:00","BZN|SE3","Without sequence","25.89",""
"09/01/2015 01:00:00 - 09/01/2015 02:00:00","BZN|SE3","Without sequence","25.37",""
"09/01/2015 02:00:00 - 09/01/2015 03:00:00","BZN|SE3","Without sequence","25.17",""
"09/01/2015 03:00:00 - 09/01/2015 04:00:00","BZN|SE3","Without sequence","25.12",""
"09/01/2015 04:00:00 - 09/01/2015 05:00:00","BZN|SE3","Without sequence","25.46",""
"09/01/2015 05:00:00 - 09/01/2015 06:00:00","BZN|SE3","Without sequence","26.88",""
"09/01/2015 06:00:00 - 09/01/2015 07:00:00","BZN|SE3","Without sequence","28.17",""
"09/01/2015 07:00:00 - 09/01/2015 08:00:00","BZN|SE3","Without sequence","29.24",""
"09/01/2015 08:00:00 - 09/01/2015 09:00:00","BZN|SE3","Without sequence","29.71",""
"09/01/2015 09:00:00 - 09/01/2015 10:00:00","BZN|SE3","Without sequence","29.11",""
"09/01/2015 10:00:00 - 09/01/2015 11:00:00","BZN|SE3","Without sequence","29.74",""
"09/01/2015 11:00:00 - 09/01/2015 12:00:00","BZN|SE3","Without sequence","30.46",""
"09/01/2015 12:00:00 - 09/01/2015 13:00:00","BZN|SE3","Without sequence","30.51",""
"09/01/2015 13:00:00 - 09/01/2015 14:00:00","BZN|SE3","Without sequence","29.95",""
"09/01/2015 14:00:00 - 09/01/2015 15:00:00","BZN|SE3","Without sequence","29.17",""
"09/01/2015 15:00:00 - 09/01/2015 16:00:00","BZN|SE3","Without sequence","29.47",""
"09/01/2015 16:00:00 - 09/01/2015 17:00:00","BZN|SE3","Without sequence","30.09",""
"09/01/2015 17:00:00 - 09/01/2015 18:00:00","BZN|SE3","Without sequence","30.99",""
"09/01/2015 18:00:00 - 09/01/2015 19:00:00","BZN|SE3","Without sequence","30.63",""
"09/01/2015 19:00:00 - 09/01/2015 20:00:00","BZN|SE3","Without sequence","29.91",""
"09/01/2015 20:00:00 - 09/01/2015 21:00:00","BZN|SE3","Without sequence","28.85",""
"09/01/2015 21:00:00 - 09/01/2015 22:00:00","BZN|SE3","Without sequence","28.32",""
"09/01/2015 22:00:00 - 09/01/2015 23:00:00","BZN|SE3","Without sequence","27.89",""
"09/01/2015 23:00:00 - 10/01/2015 00:00:00","BZN|SE3","Without sequence","26.74",""
"10/01/2015 00:00:00 - 10/01/2015 01:00:00","BZN|SE3","Without sequence","27.84",""
"10/01/2015 01:00:00 - 10/01/2015 02:00:00","BZN|SE3","Without sequence","27.21",""
"10/01/2015 02:00:00 - 10/01/2015 03:00:00","BZN|SE3","Without sequence","27.04",""
"10/01/2015 03:00:00 - 10/01/2015 04:00:00","BZN|SE3","Without sequence","27.47",""
"10/01/2015 04:00:00 - 10/01/2015 05:00:00","BZN|SE3","Without sequence","27.71",""
"10/01/2015 05:00:00 - 10/01/2015 06:00:00","BZN|SE3","Without sequence","27.91",""
"10/01/2015 06:00:00 - 10/01/2015 07:00:00","BZN|SE3","Without sequence","27.97",""
